experiment [GB];resnet14;resnet32;resnet56;resnet110;resnet218;resnet434;
full;1.35;1.374;1.378;1.388;1.408;1.45;
nobn;1.35;1.374;1.378;1.388;1.408;1.45;
bn;1.38;1.412;1.494;1.678;2.044;2.778;
random;1.35;1.374;1.378;1.388;1.408;1.45;
