experiment [h];resnet14;resnet32;resnet56;resnet110;resnet218;resnet434;
full;1.285;1.777;2.037;8.134;12.79;10.847;
nobn;1.279;1.75;1.981;7.885;11.42;10.24;
bn;1.128;1.549;1.684;6.215;10.038;6.061;
random;1.607;2.943;4.033;11.602;15.003;27.422;
